blind_id	linguistic_correctness	naturalness	level_fit	source_grounding	answerability	pedagogical_value	cognitive_load	critical_errors	reviewer_confidence	reviewer_notes
LB2B-001	2	3	3	2	4	3	4	UNSUPPORTED_HEBREW_FACT: «наир» неверно представлен как слово «свет», а ותרנות переосмыслено как «готовность»; часть вывода о личной ответственности выходит за цитированный anchor.	4	Заменить «наир — свет» на точную цитату יֵאור לו בנפשו с переводом «в душе озарится/засияет»; ותרנות переводить как уступчивость. Убрать неподтверждённые выводы и исправить «короткий эссе» на «короткое эссе».
LB2B-002	5	4	4	4	5	3	5	NONE	5	Канонический кандидат A2 корректно опирается на источник; русский пересказ заранее раскрывает ответы и слегка обобщает «новое слово» до «новых слов», поэтому progression ограничен, но критической ошибки нет.
LB2B-003	4	2	2	5	4	2	5	NONE	5	Формально выполнимый basic plan, но для B2 слишком примитивен: секция повторяет инструкцию, фрагменты частично дублируются, нет языкового scaffolding и progression. Добавить конкретную модель главной мысли, лексику/связки B2 и критерии аргументации.
LB2B-004	5	4	4	5	5	3	5	NONE	5	Факты и перевод условной конструкции корректны. Однако grammar-упражнение просит лишь перевести готовую фразу на русский, поэтому почти не тренирует построение אם...אז; success criteria говорят об использовании конструкции, хотя продуктивного ответа на иврите нет.
LB2B-005	4	4	4	5	4	3	4	NONE	5	Исправить «студенческий билет» на «ученический билет». Диалоговое задание действительно предлагает роль, но expected_answer сводится к двум фактам; добавить образец двух вопросов на иврите и короткий ответ собеседника.
LB2B-006	1	2	3	2	3	1	4	UNSUPPORTED_HEBREW_FACT: урок объясняет ספר, שמר и פני как подтверждённые грамматические факты, хотя они явно перечислены в excluded_ambiguous_morphology; кроме того, שומר/שמר и שמרה/שמר смешаны как одна форма.	5	Не публиковать. Либо получить детерминированный разбор с огласовкой и частью речи для каждой формы, либо заменить урок нейтральным контекстным сопоставлением без морфологических утверждений. «השומר שמר» — существительное плюс глагол, а «היא שמרה» не является поверхностной формой שמר.
LB2B-007	4	4	4	5	4	4	4	NONE	5	Урок полезен и опирается на источник. Локально уточнить, что בא и הולך здесь формы настоящего времени, а не словарные инфинитивы; критерий «без запинок» заменить на проверяемое чтение/перевод, поскольку упражнение не измеряет беглость.
LB2B-008	5	4	4	5	5	4	5	NONE	5	Хорошо grounded и выполнимо. Для более сильной педагогической ценности после копирования исходной фразы добавить одно новое условное предложение с иной ситуацией сада, чтобы проверить перенос конструкции, а не только воспроизведение.
LB2B-009	4	2	2	5	4	2	5	NONE	5	Формально корректный basic plan, но практически идентичен LB2B-003: слишком общий для B2, не обучает языковым средствам и использует повторяющиеся фрагменты. Нужны B2-связки, образец тезиса и критерии качества письменного вывода.
LB2B-010	5	4	5	5	5	4	5	NONE	5	Точный и доступный A2-урок. Формулировку «Выберите из текста, что именно...» заменить на «Ответьте по тексту...», поскольку вариантов выбора нет; можно добавить короткое задание на упорядочивание действий.
LB2B-011	5	4	4	4	5	4	4	NONE	5	Сильнее альтернативы: корректно раскрыта дихотомия света и страха, задания выполнимы. Вторая секция слегка интерпретирует связь бессонницы именно со смыслом заповеди; сузить формулировку к «неразрешённому вопросу/утрате», либо цитировать более широкий контекст.
LB2B-012	1	3	3	2	3	2	4	UNSUPPORTED_HEBREW_FACT: кандидат объясняет формы из excluded_ambiguous_morphology как установленные значения; утверждение, что в היא שמרה «שמר означает сохранила», морфологически неверно, поскольку фактическая форма — שמרה.	5	Требуется детерминированная огласовка и разбор: הַסֵּפֶר/הַסַּפָּר, פְּנֵי/פְּנִי и отдельные формы שמרה, שומר, שמר. До этого не давать грамматическую классификацию и не называть все пары одним словом.
LB2B-013	3	1	2	2	1	1	3	UNANSWERABLE_CONTROLLED_TASK: grammar-задание требует найти конструкцию цели «undefined» при selected_construct=null; MISSING_SELECTED_FOCUS: заявленный grammar focus фактически отсутствует и не может быть отработан.	5	Fail closed должен был оставить только reading basic plan. Удалить grammar exercise при отсутствии selected_construct; reading также переписать как сопоставление значений по контексту, потому что набор независимых предложений не имеет единой сюжетной «основной мысли».
LB2B-014	4	4	4	3	4	4	4	NONE	5	Лексика подтверждена. Убрать неподтверждённые уточнения «пластиковые» и «Яэль старается быть экологичной» либо сформулировать как возможный вывод, не как факт. В summary не связывать сравнение цен с предотвращением waste: в источнике waste предотвращается покупкой малого количества.
LB2B-015	5	5	5	5	5	3	5	NONE	5	Точный, простой и хорошо соответствует A1. Педагогическая ценность ограничена одним вопросом на русском после полного русского пересказа; лучше показать короткий ивритский фрагмент и попросить выбрать/написать מכינה שיעורים.
LB2B-016	3	1	2	2	1	1	3	UNANSWERABLE_CONTROLLED_TASK: grammar-задание требует найти конструкцию цели «undefined» при selected_construct=null; MISSING_SELECTED_FOCUS: заявленный grammar focus фактически отсутствует и не может быть отработан.	5	Кандидат идентичен LB2B-013 и требует того же fail-closed repair: удалить grammar exercise без подтверждённой конструкции; заменить вопрос об «основной мысли» на контекстное сравнение конкретных предложений.
LB2B-017	3	1	2	3	1	1	2	UNANSWERABLE_CONTROLLED_TASK: grammar-задание требует найти цель «undefined» без selected_construct; MISSING_SELECTED_FOCUS: grammar focus не реализован.	5	Не публиковать. Три далёких фрагмента Бялика имеют разные функции и высокую историко-лексическую сложность; сначала задать отдельные вопросы по каждому окну, затем общий синтез. Grammar-часть полностью удалить, пока construct не выбран детерминированно.
LB2B-018	5	4	5	5	5	3	5	NONE	5	Чистый и доступный A1-кандидат, но objective обещает действия, тогда как секция показывает только местоположение и обладание. Либо сузить objective, либо добавить בא/באה, קם, הולך, שב с одним продуктивным упражнением.
LB2B-019	5	4	5	5	5	4	5	NONE	5	Оба задания точны и хорошо подходят A1. В summary заменить «новые слова» на «новое слово», чтобы сохранить число исходника; для progression можно добавить третье задание на порядок двух действий.
LB2B-020	3	1	2	3	1	1	2	UNANSWERABLE_CONTROLLED_TASK: grammar-задание требует найти цель «undefined» без selected_construct; MISSING_SELECTED_FOCUS: grammar focus не реализован.	5	Кандидат идентичен LB2B-017. Нужен fail-closed переход к reading/writing без grammar, раздельные вопросы по трём фрагментам и явный bridge для итогового отклика.
LB2B-021	4	4	4	3	5	4	4	NONE	5	Основные задания верны. В пересказе «вкусную еду» не подтверждено, а hint про экологию является интерпретацией; заменить на «приготовила еду» и «чтобы не пользоваться пакетами». Для A2 можно оставить только 6–8 ключевых строк либо дать словарную опору.
LB2B-022	4	4	4	3	5	3	5	NONE	5	Урок выполним, но vocabulary focus охватывает только טרי, хотя в deterministic facts есть также בזבוז. Объяснение «недавно собраны» правдоподобно, но не заявлено фактом; оставить перевод «свежий» и добавить второе подтверждённое слово.
LB2B-023	5	4	4	2	2	2	5	FOREIGN_OR_FALSE_ANCHOR: секция приписывает Ноа игру с другими детьми, хотя источник сообщает лишь «дети играют»; UNANSWERABLE_CONTROLLED_TASK: задание просит два действия Ноа на перемене, но для неё явно указано только поедание яблока.	5	Исправить summary на «дети играют во дворе, а Ноа ест яблоко». Второе задание должно спрашивать отдельно: что делают дети и что делает Ноа; тогда expected_answer станет однозначным.
LB2B-024	5	4	4	5	5	3	5	NONE	5	Факты точны, но dialogue focus почти не практикуется: ученик даёт один фактологический ответ вместо диалога. Добавить мини-сценарий из 2–3 реплик на иврите: вопрос о записи, ответ о форме на сайте и уточнение о пробном занятии.
LB2B-025	5	4	5	5	5	4	5	NONE	5	Точный, компактный и хорошо соответствует A2. Исправить hint: טרי встречается в предложении о помидорах, а не «во втором предложении»; добавить короткое предложение ученика с одним из двух слов для переноса лексики.
LB2B-026	4	4	5	4	5	3	5	NONE	5	В целом точный A1-кандидат. В пересказе «новые слова» заменить на единственное «новое слово», а «ужинает» — на нейтральное «ест вместе с семьёй». Как и LB2B-015, русский пересказ заранее выдаёт ответ; лучше опираться на короткие строки на иврите.
