id	surface	niqqud	stratum	depth	draft_proclitics	stem	posDicta	offline_agrees	needs_r1	R1_VERDICT	R1_NOTES	context
1	ולסולטן	וּלְסוּלְטָן	name-suspect	2	ול	סולטן	propernoun	N	YES	ול	proper noun residual: ו+ל to Sultan; stem remains unglossed	לפני שנים רבות היה סולטן אביר, ולסולטן בן יחיד –
2	באירופה	בְּאֵירוֹפָּה	name-suspect	1	ב	אירופה	propernoun	Y	YES	ב	proper noun residual: ב + Europe	ובאמת מה לנו ולמלחמה באירופה?
3	בכנרת	בַּכִּנֶּרֶת	name-suspect	1	ב	כנרת	propernoun	N	YES	בה	proper noun residual + fused article by niqqud: ב+ה+כנרת	על הכפים, בכנרת,
4	בריגה	בְּרִיגָה	name-suspect	1	ב	ריגה	propernoun	N	YES	ב	proper noun residual: ב + Riga	פורסם בשנת 1930, בשני המשכים, בכותרת 'הנוער בארץ ישראל', ב'על המשמר', בטאון נצ"ח, שהופיע ב
5	החרמון	הַחֶרְמוֹן	name-suspect	1	ה	חרמון	propernoun	N	YES	ה	toponym with article ה	צניף החרמון הפך כחל,
6	השומרון	הַשּׁוֹמְרוֹן	name-suspect	1	ה	שומרון	propernoun	N	YES	ה	toponym/region with article ה	המטייל בשלהי קיץ בהרי יהודה, השומרון והשפלה, ונכנס לעמק החולה, ישתומם למרחב העצום הירוק ול
7	וברנדיס	וּבְרַנְדֵּיְס	name-suspect	1	ו	ברנדיס	propernoun	N	YES	ו	ו + proper name	וברנדיס, זה "איש המדנים", "רודף הכבוד".
8	והלל	וְהִלֵּל	name-suspect	1	ו	הלל	propernoun	Y	YES	ו	ו + proper name	מ"י ברדיצבסקי, י"ח ברנר והלל צייטלין), עד שנקטעו חייו ויצירתו עם טביעתו
9	ושבעה	וְשִׁבְעָה	name-suspect	1	ו	שבעה	propernoun	Y	YES	ו	ו + numeral שבעה	בקעתהחולה משתרעת על שטח גדול של מאה חמישים ושבעה אלף
10	כבאר	כְּבָאר	name-suspect	1	כ	באר	propernoun	Y	YES	כ	כ + noun באר	החצר כבאר במדבר עמקה,
11	לישראל	לְיִשְׂרָאֵל	name-suspect	1	ל	ישראל	propernoun	N	YES	ל	ל + proper name ישראל	מיום הקמת המדינה ועד היום עלו לישראל לערך 440 אלף נפש,
12	לסקרשילר	לֶסְקֶרְשִׁילֶר	name-suspect	1	ל	סקרשילר	propernoun	N	YES	-	surname Lasker-Schüler; initial ל is part of the name, not a proclitic	אלזה לסקרשילר נולדה בשנת 1869, בוופרטלאלברפלד
13	מנח	מִנֹּחַ	name-suspect	1	מ	נח	propernoun	N	YES	-	context is מונח/מנח “resting/placed”; not מ+נח	לבי מנח בין שתי כפות ידי.
14	בוופרטלאלברפלד	בְּווּפֶרְטְלַלְבֶּרְפֵלְד	name-suspect	0	(unclear)	בוופרטללברפלד	propernoun	N	YES	ב	ב + place name Wuppertal-Elberfeld	אלזה לסקרשילר נולדה בשנת 1869, בוופרטלאלברפלד
15	בחרף	בַּחֹרֶף	name-suspect	0		בחרף	propernoun	Y	YES	בה	ב+ה+חורף: fused article indicated by vocalization/context	האפון ייטיב לצמח בחרף. הוא נזרע עוד לפני הגשמים וכעבר שלשה חדשים ירהיב כבר את עינינו בתרמי
16	בלה	בֵּלָה	name-suspect	0		בלה	propernoun	Y	YES	-	whole adjective/participle בלה; ב is root	שוב לפני: זקן בלה,
17	במרחביהנוף	בְּמֶרְחַבְיָהנוֹף	name-suspect	0		במרחביהנוף	propernoun	Y	YES	ב	ב + מרחבי־הנוף; spacing/fusion artifact	כפלא אעבר במרחביהנוף.
18	ברדיצ'בסקי	בֶּרְדִּיצֶ'בְסְקִי	name-suspect	0		ברדיצ'בסקי	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	חידות / מיכה יוסף ברדיצ'בסקי
19	ברדיצבסקי	בֶּרְדִּיצֶבְסְקִי	name-suspect	0		ברדיצבסקי	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	מ"י ברדיצבסקי, י"ח ברנר והלל צייטלין), עד שנקטעו חייו ויצירתו עם טביעתו
20	ברוך	בָּרוּךְ	name-suspect	0					YES	-	hard negative: ברוך is whole word/name; ב is root	SEED — blessed / name Baruch
21	ברנר	בְּרֵנֶר	name-suspect	0		ברנר	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	מ"י ברדיצבסקי, י"ח ברנר והלל צייטלין), עד שנקטעו חייו ויצירתו עם טביעתו
22	האקא	האקא	name-suspect	0		האקא	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	ע"פ אהרני ופר' האקא
23	החולה	הַחוּלָה	name-suspect	0		החולה	propernoun	Y	YES	ה	toponym “החולה” with visible article ה in עמק החולה	המטייל בשלהי קיץ בהרי יהודה, השומרון והשפלה, ונכנס לעמק החולה, ישתומם למרחב העצום הירוק ול
24	הרינפתלי	הָרִינְפְּתְּלִי	name-suspect	0		הרינפתלי	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	– החרמון הענק, וממערב – רכסי הרינפתלי.
25	ויצמן	וַיְצְמָן	name-suspect	0		ויצמן	propernoun	Y	YES	-	hard negative: Weizmann name; ו is part of the name	ככה דבר דר' ויצמן בששה ליולי העבר, לפני אספת צירי הועידה, מדברי
26	כלב	כֶּלֶב	name-suspect	0					YES	-	hard negative: כלב whole word; כ is root	SEED — dog, root כ
27	כנרת	כִּנֶּרֶת	name-suspect	0		כנרת	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	על חוף ים כנרת
28	לאה	לֵאָה	name-suspect	0					YES	-	hard negative: לאה name; ל is root/name-initial	SEED — name Leah
29	לבן	לָבָן	name-suspect	0					YES	-	hard negative: לבן whole word/name; ל is root/name-initial	SEED — name Lavan / white
30	לונדון	לוֹנְדוֹן	name-suspect	0		לונדון	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	פתח דבר - חוצות לונדון
31	מאיר	מֵאִיר	name-suspect	0		מאיר	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	בשולי הפרק הרוח החיה מאת מאיר שחר
32	מגלהאוב	מִגַּלְהֵאוּב	name-suspect	0		מגלהאוב	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	משיחהזיה, חמוש מגלהאוב,
33	מייטה	מַיְטָה	name-suspect	0		מיטה	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	ורגליים – הריבה מייטה.
34	מיכה	מִיכָה	name-suspect	0		מיכה	propernoun	Y	YES	-	hard negative: מיכה name; מ is part of the name	חידות / מיכה יוסף ברדיצ'בסקי
35	מרים	מִרְיָם	name-suspect	0					YES	-	hard negative: מרים name; מ is part of the name	SEED — name Miriam
36	משה	מֹשֶׁה	name-suspect	0					YES	-	hard negative: משה name; not מ+שה	SEED — name Moses, not מ+שה
37	שחר	שַׁחַר	name-suspect	0		שחר	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	בשולי הפרק הרוח החיה מאת מאיר שחר
38	שלום	שָׁלוֹם	name-suspect	0		שלום	propernoun	Y	YES	-	proper name/whole lexical item; no proclitic	ספר זה בא להציב ציון לסופר עברי צעיר, יעקב שלום
39	ויאמר	וַיֹּאמֶר	vav-consecutive	1	ו				YES	ו	vav-consecutive / повествовательный ו; do not label as plain “и”	SEED — vav-consecutive «and said» — NOT conjunctive
40	ויהי	וַיְהִי	vav-consecutive	1	ו				YES	ו	vav-consecutive / повествовательный ו; do not label as plain “и”	SEED — vav-consecutive «and it was»
41	וילך	וַיֵּלֶךְ	vav-consecutive	1	ו				YES	ו	vav-consecutive / повествовательный ו; do not label as plain “и”	SEED — vav-consecutive «and went»
42	ותהי	וַתְּהִי	vav-consecutive	1	ו				YES	ו	vav-consecutive / повествовательный ו; do not label as plain “и”	SEED — vav-consecutive «and she was»
43	באמת	בֶּאֱמֶת	fossil	0		באמת	adverb	Y	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
44	בגלל	בִּגְלַל	fossil	0		בגלל	preposition	Y	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	הגורים שנולדו בחר לו את אלה שמצאו חן בעיניו, בגלל תכונותיהם המיוחדות,
45	ביחוד	בְּיִחוּד	fossil	0		ביחוד	adverb	Y	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	בין כל הצרות שנתחדשו עלינו בעת האחרונה תעשה ביחוד רושם מעציב בלב כל איש ישראל התחדשות 'עלי
46	בלי	בְּלִי	fossil	0		בלי	preposition	Y	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	א. אני מאשר בזה את קבלת הרפורט שלך (בלי תאריך).
47	בעיקר	בְּעִקָּר	fossil	0	(unclear)	בעקר	adverb	N	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	שהשירה את שערותיה, בעיקר כאילו לשם סולידריות עם המתקרבים לגיל מסויים,
48	בעצם	בְּעֶצֶם	fossil	0		בעצם	adverb	Y	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	וגם באותה ספירה אין רע ממש כי אם בצורה; אין דבר רע בעצם, והוא נעשה רק על ידי אפנים ותנאים 
49	כאשר	כַּאֲשֶׁר	fossil	0		כאשר	conjunction	Y	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	אויר אפור, רך ונעים – כאשר אהבתי.
50	כדי	כְּדֵי	fossil	0		כדי	conjunction	Y	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	אין מורה ואין מחנך כייסורים גדולים, כצרות גדולות, ועלינו רק להיות תלמידים מקשיבים, לתת את 
51	כך	כָּךְ	fossil	0		כך	adverb	Y	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	"כך אמר לבבי, ואחר נאנח"…
52	ככה	כָּכָה	fossil	0		ככה	adverb	Y	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	ככה דבר דר' ויצמן בששה ליולי העבר, לפני אספת צירי הועידה, מדברי
53	כמו	כְּמוֹ	fossil	0		כמו	preposition	Y	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	כמו תאמרנה למסתכל בהן: "אל תעפיל עלות אלינו, כי לא תוכלה".
