id	domain	subdomain	source_lang	target_lang	source_text	reference_text	provenance_id	source_sha256	stress_kind	parent_id
ID-ASR-001	in-domain	asr-style-human-gold	he	ru	אני אומר שלום לשכן.	Я здороваюсь с соседом.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N01	d2403350108088ddbd605c58fdb4fddae881054cbc1aec1524ec85ac4397501e	none	
ID-ASR-002	in-domain	asr-style-human-gold	he	ru	שלום הוא מילה חשובה.	«Шалом» — важное слово.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N02	ae41a3583c547d0f1d6434264d646665b4eca6a06b44e38918ed112c1bcd3663	none	
ID-ASR-003	in-domain	asr-style-human-gold	he	ru	התלמיד קורא ספר.	Ученик читает книгу.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N03	675650c9bd35591c9be3afe84dfb264da74f02e8ae5b7ebd30a96f110aab031d	none	
ID-ASR-004	in-domain	asr-style-human-gold	he	ru	כל תלמיד כותב במחברת.	Каждый ученик пишет в тетради.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N04	68f46607f09d4a492324bdd48091af134f1b28646db650a0d54b678ea52d9ec1	none	
ID-ASR-005	in-domain	asr-style-human-gold	he	ru	אני לומד עברית בכל יום.	Я каждый день учу иврит.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N05	01f2ac0cf820b1c0cfd448a1007baa7882f674f0d5e30fcf05063ea2f0c2c0df	none	
ID-ASR-006	in-domain	asr-style-human-gold	he	ru	עברית נשמעת יפה.	Иврит звучит красиво.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N06	3b4552b0a875cee2916a12d2ca5266668f2ecab147857439d96a90df3126baad	none	
ID-ASR-007	in-domain	asr-style-human-gold	he	ru	ישראל היא מדינה קטנה.	Израиль — небольшая страна.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N07	0d0868328524ecfdf99d28280b600ac778cc2c93666ab7816d6f89ed05cf7daa	none	
ID-ASR-008	in-domain	asr-style-human-gold	he	ru	כל מדינה קובעת חוקים.	Каждая страна устанавливает законы.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N08	18c92e135356436ac3da2837742888b85910277f7b54d3d2481be561e768273f	none	
ID-ASR-009	in-domain	asr-style-human-gold	he	ru	יש ספרים על השולחן.	На столе лежат книги.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N09	8c2460d14c7106b2cb3a182506d0f87b973f7d2ca8c121dd6c33c88104b4dfe3	none	
ID-ASR-010	in-domain	asr-style-human-gold	he	ru	הספרייה קונה ספרים חדשים.	Библиотека покупает новые книги.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N10	e18cb1779e3fd79aafd5ea5032d4b8d86c429bef44e675cc592f92b8b0e02ac3	none	
ID-ASR-011	in-domain	asr-style-human-gold	he	ru	חברים טובים נפגשים בערב.	Хорошие друзья встречаются вечером.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N11	7e293c2cb898a2e6bc0ef9436f212e7ff7080a2b804c8601fd0f40c04129db5f	none	
ID-ASR-012	in-domain	asr-style-human-gold	he	ru	יש לי חברים טובים.	У меня есть хорошие друзья.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N12	59c9568093cf9a7999843a3999da55ad9c1b68ca7b23995a7b42cb2d5de65df7	none	
ID-ASR-013	in-domain	asr-style-human-gold	he	ru	עבודה טובה דורשת סבלנות.	Хорошая работа требует терпения.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N13	a011d8bc07d6a03eac37c0ffddcb0fabc2e49eeff02df4796a1f984040b5b628	none	
ID-ASR-014	in-domain	asr-style-human-gold	he	ru	מצאתי עבודה חדשה.	Я нашёл новую работу.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N14	888bb4950634fb25c85f5333ac31bbf389ff4215f163a66544a568834bcf3399	none	
ID-ASR-015	in-domain	asr-style-human-gold	he	ru	הילד לומד עברית.	Ребёнок учит иврит.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N15	4010f45d337f79a4dc28c4817a2340c0a33c2d2427812f1fcafb7a8f038fc4ab	none	
ID-ASR-016	in-domain	asr-style-human-gold	he	ru	הוא לומד מילים חדשות.	Он учит новые слова.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N16	27f94203c3e5c6c0e38571eced1d2b291970341fa3ed3d966078cd55c8f89e22	none	
ID-ASR-017	in-domain	asr-style-human-gold	he	ru	דני כותב מכתב קצר.	Дани пишет короткое письмо.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N17	fd3ff34b1ad8b85d2422b5f538ab4bbd5826a307394ff4d8bf0e7fda157b3a56	none	
ID-ASR-018	in-domain	asr-style-human-gold	he	ru	הוא כותב תשובה ברורה.	Он пишет ясный ответ.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N18	7577d6b6911560f48600e25d6c2ef5ccad5fd5ae32d74591ceefb104f62928fa	none	
ID-ASR-019	in-domain	asr-style-human-gold	he	ru	אני שומע מוזיקה בבית.	Я слушаю музыку дома.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N19	324c480a920b587e65726c37400100fe172f945119d5ef4646ae0998436feee5	none	
ID-ASR-020	in-domain	asr-style-human-gold	he	ru	הוא שומע קול מהרחוב.	Он слышит голос с улицы.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N20	6440c413904728d59c0bffeb9596e82ff25a1dc5c84f71ccf1771d9d7e2bb2ff	none	
ID-ASR-021	in-domain	asr-style-human-gold	he	ru	היא מדברת עברית היטב.	Она хорошо говорит на иврите.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N21	aa74e6f274183b20c80c235c9dc0924c38a1f748a7c6de9e349debaa8f7d8472	none	
ID-ASR-022	in-domain	asr-style-human-gold	he	ru	המורה מדברת לאט.	Учительница говорит медленно.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N22	cd33a7be939845a3e9aa5801b6c9fed489c2b21563bfc83d6b159d2b48806e43	none	
ID-ASR-023	in-domain	asr-style-human-gold	he	ru	ילדים משחקים בחצר.	Дети играют во дворе.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N23	21e70f6720949bc93201035bf98fb6b10e0cd3f8b42c94980cb8371bbe5406f1	none	
ID-ASR-024	in-domain	asr-style-human-gold	he	ru	ראינו ילדים ליד הבית.	Мы видели детей возле дома.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N24	d211befb82072992d15325b170eccee8c466c529a58bb43249167a056c46d2d8	none	
ID-ASR-025	in-domain	asr-style-human-gold	he	ru	אנשים מחכים בתחנה.	Люди ждут на остановке.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N25	5d66d2f390765a88629b5b7631a5693570e4cb9929327dfd9418a782a48729c7	none	
ID-ASR-026	in-domain	asr-style-human-gold	he	ru	הרבה אנשים הגיעו מוקדם.	Много людей пришло рано.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N26	7e89464bb3c5b9ed7b35664472fe62461fd1015a12b2683d7d929d54ad6f9b79	none	
ID-ASR-027	in-domain	asr-style-human-gold	he	ru	משפחה אוכלת יחד.	Семья ест вместе.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N27	4014ce351665f7fb7a0a4ea1ec858aaa47aae6f0bf679b38a824600c49e7a3c6	none	
ID-ASR-028	in-domain	asr-style-human-gold	he	ru	יש לי משפחה גדולה.	У меня большая семья.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N28	a6eff83e555ff388c645bb16944cc89f1c6484c494ec04e162a8ab6acbe16738	none	
ID-ASR-029	in-domain	asr-style-human-gold	he	ru	הכנו ארוחה טעימה.	Мы приготовили вкусную еду.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N29	349a4128369eee9d45e86a0bd4909b205dc9443100282210481f6ba9c1c4d254	none	
ID-ASR-030	in-domain	asr-style-human-gold	he	ru	ארוחה חמה מוכנה עכשיו.	Горячая еда уже готова.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N30	29b2db15e0eb43d6c6589182d0edea3ad83efde5f86ae7dac1404551fa1536b0	none	
