case_id	artifact_id	reviewer_id	reviewer_qualification	linguistic_correctness	naturalness	level_fit	source_grounding	answerability	pedagogical_value	cognitive_load	critical_errors	reviewer_notes	adjudication_status
short_a1_reading_synthetic	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
short_a2_vocabulary_synthetic	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
overview_146_b1_grammar_synthetic	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
series_241_b2_writing_public_domain	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
dialogue_a2_synthetic	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
ambiguous_morphology_b1	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
no_eligible_vocabulary_a1	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
adversarial_foreign_anchor	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
adversarial_invented_construct	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
adversarial_missing_answer	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
adversarial_generic_instruction	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
provider_absent_safe_plan	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
double_reject_safe_plan	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
