blind_id	linguistic_correctness	naturalness	level_fit	source_grounding	answerability	pedagogical_value	cognitive_load	critical_errors	reviewer_confidence	reviewer_notes
LB2B-001	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-002	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-003	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-004	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-005	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-006	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-007	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-008	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-009	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-010	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-011	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-012	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-013	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-014	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-015	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-016	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-017	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-018	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-019	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-020	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-021	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-022	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-023	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-024	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
