pair_id	candidate_a	candidate_b	preferred_candidate	critical_reason	reviewer_notes
PAIR-001	LB2B-029	LB2B-009	UNSCORED	UNSCORED	UNSCORED
PAIR-002	LB2B-043	LB2B-046	UNSCORED	UNSCORED	UNSCORED
PAIR-003	LB2B-011	LB2B-042	UNSCORED	UNSCORED	UNSCORED
PAIR-004	LB2B-033	LB2B-025	UNSCORED	UNSCORED	UNSCORED
PAIR-005	LB2B-045	LB2B-030	UNSCORED	UNSCORED	UNSCORED
PAIR-006	LB2B-002	LB2B-015	UNSCORED	UNSCORED	UNSCORED
PAIR-007	LB2B-013	LB2B-005	UNSCORED	UNSCORED	UNSCORED
PAIR-008	LB2B-028	LB2B-044	UNSCORED	UNSCORED	UNSCORED
PAIR-009	LB2B-031	LB2B-004	UNSCORED	UNSCORED	UNSCORED
PAIR-010	LB2B-016	LB2B-026	UNSCORED	UNSCORED	UNSCORED
PAIR-011	LB2B-024	LB2B-041	UNSCORED	UNSCORED	UNSCORED
PAIR-012	LB2B-048	LB2B-008	UNSCORED	UNSCORED	UNSCORED
PAIR-013	LB2B-032	LB2B-023	UNSCORED	UNSCORED	UNSCORED
PAIR-014	LB2B-021	LB2B-038	UNSCORED	UNSCORED	UNSCORED
PAIR-015	LB2B-034	LB2B-040	UNSCORED	UNSCORED	UNSCORED
PAIR-016	LB2B-035	LB2B-019	UNSCORED	UNSCORED	UNSCORED
PAIR-017	LB2B-018	LB2B-001	UNSCORED	UNSCORED	UNSCORED
PAIR-018	LB2B-037	LB2B-049	UNSCORED	UNSCORED	UNSCORED
PAIR-019	LB2B-050	LB2B-027	UNSCORED	UNSCORED	UNSCORED
PAIR-020	LB2B-010	LB2B-014	UNSCORED	UNSCORED	UNSCORED
PAIR-021	LB2B-036	LB2B-022	UNSCORED	UNSCORED	UNSCORED
PAIR-022	LB2B-020	LB2B-017	UNSCORED	UNSCORED	UNSCORED
PAIR-023	LB2B-003	LB2B-047	UNSCORED	UNSCORED	UNSCORED
PAIR-024	LB2B-039	LB2B-012	UNSCORED	UNSCORED	UNSCORED
PAIR-025	LB2B-006	LB2B-051	UNSCORED	UNSCORED	UNSCORED
PAIR-026	LB2B-007	LB2B-052	UNSCORED	UNSCORED
