id	surface	niqqud	stratum	depth	draft_proclitics	R1_VERDICT	R1_NOTES	context
3	בכנרת	בַּכִּנֶּרֶת	name-suspect	1	ב	בה	proper noun residual + fused article by niqqud: ב+ה+כנרת	על הכפים, בכנרת,
12	לסקרשילר	לֶסְקֶרְשִׁילֶר	name-suspect	1	ל	-	surname Lasker-Schüler; initial ל is part of the name, not a proclitic	אלזה לסקרשילר נולדה בשנת 1869, בוופרטלאלברפלד
13	מנח	מִנֹּחַ	name-suspect	1	מ	-	context is מונח/מנח “resting/placed”; not מ+נח	לבי מנח בין שתי כפות ידי.
14	בוופרטלאלברפלד	בְּווּפֶרְטְלַלְבֶּרְפֵלְד	name-suspect	0	(unclear)	ב	ב + place name Wuppertal-Elberfeld	אלזה לסקרשילר נולדה בשנת 1869, בוופרטלאלברפלד
15	בחרף	בַּחֹרֶף	name-suspect	0		בה	ב+ה+חורף: fused article indicated by vocalization/context	האפון ייטיב לצמח בחרף. הוא נזרע עוד לפני הגשמים וכעבר שלשה חדשים ירהיב כבר את עינינו בתרמי
16	בלה	בֵּלָה	name-suspect	0		-	whole adjective/participle בלה; ב is root	שוב לפני: זקן בלה,
17	במרחביהנוף	בְּמֶרְחַבְיָהנוֹף	name-suspect	0		ב	ב + מרחבי־הנוף; spacing/fusion artifact	כפלא אעבר במרחביהנוף.
18	ברדיצ'בסקי	בֶּרְדִּיצֶ'בְסְקִי	name-suspect	0		-	proper name/whole lexical item; no proclitic	חידות / מיכה יוסף ברדיצ'בסקי
19	ברדיצבסקי	בֶּרְדִּיצֶבְסְקִי	name-suspect	0		-	proper name/whole lexical item; no proclitic	מ"י ברדיצבסקי, י"ח ברנר והלל צייטלין), עד שנקטעו חייו ויצירתו עם טביעתו
20	ברוך	בָּרוּךְ	name-suspect	0		-	hard negative: ברוך is whole word/name; ב is root	SEED — blessed / name Baruch
21	ברנר	בְּרֵנֶר	name-suspect	0		-	proper name/whole lexical item; no proclitic	מ"י ברדיצבסקי, י"ח ברנר והלל צייטלין), עד שנקטעו חייו ויצירתו עם טביעתו
22	האקא	האקא	name-suspect	0		-	proper name/whole lexical item; no proclitic	ע"פ אהרני ופר' האקא
23	החולה	הַחוּלָה	name-suspect	0		ה	toponym “החולה” with visible article ה in עמק החולה	המטייל בשלהי קיץ בהרי יהודה, השומרון והשפלה, ונכנס לעמק החולה, ישתומם למרחב העצום הירוק ול
24	הרינפתלי	הָרִינְפְּתְּלִי	name-suspect	0		-	proper name/whole lexical item; no proclitic	– החרמון הענק, וממערב – רכסי הרינפתלי.
25	ויצמן	וַיְצְמָן	name-suspect	0		-	hard negative: Weizmann name; ו is part of the name	ככה דבר דר' ויצמן בששה ליולי העבר, לפני אספת צירי הועידה, מדברי
26	כלב	כֶּלֶב	name-suspect	0		-	hard negative: כלב whole word; כ is root	SEED — dog, root כ
27	כנרת	כִּנֶּרֶת	name-suspect	0		-	proper name/whole lexical item; no proclitic	על חוף ים כנרת
28	לאה	לֵאָה	name-suspect	0		-	hard negative: לאה name; ל is root/name-initial	SEED — name Leah
29	לבן	לָבָן	name-suspect	0		-	hard negative: לבן whole word/name; ל is root/name-initial	SEED — name Lavan / white
30	לונדון	לוֹנְדוֹן	name-suspect	0		-	proper name/whole lexical item; no proclitic	פתח דבר - חוצות לונדון
31	מאיר	מֵאִיר	name-suspect	0		-	proper name/whole lexical item; no proclitic	בשולי הפרק הרוח החיה מאת מאיר שחר
32	מגלהאוב	מִגַּלְהֵאוּב	name-suspect	0		-	proper name/whole lexical item; no proclitic	משיחהזיה, חמוש מגלהאוב,
33	מייטה	מַיְטָה	name-suspect	0		-	proper name/whole lexical item; no proclitic	ורגליים – הריבה מייטה.
34	מיכה	מִיכָה	name-suspect	0		-	hard negative: מיכה name; מ is part of the name	חידות / מיכה יוסף ברדיצ'בסקי
35	מרים	מִרְיָם	name-suspect	0		-	hard negative: מרים name; מ is part of the name	SEED — name Miriam
36	משה	מֹשֶׁה	name-suspect	0		-	hard negative: משה name; not מ+שה	SEED — name Moses, not מ+שה
37	שחר	שַׁחַר	name-suspect	0		-	proper name/whole lexical item; no proclitic	בשולי הפרק הרוח החיה מאת מאיר שחר
38	שלום	שָׁלוֹם	name-suspect	0		-	proper name/whole lexical item; no proclitic	ספר זה בא להציב ציון לסופר עברי צעיר, יעקב שלום
43	באמת	בֶּאֱמֶת	fossil	0		-	fossilized/lexicalized function word; suppress live proclitic segmentation	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
44	בגלל	בִּגְלַל	fossil	0		-	fossilized/lexicalized function word; suppress live proclitic segmentation	הגורים שנולדו בחר לו את אלה שמצאו חן בעיניו, בגלל תכונותיהם המיוחדות,
45	ביחוד	בְּיִחוּד	fossil	0		-	fossilized/lexicalized function word; suppress live proclitic segmentation	בין כל הצרות שנתחדשו עלינו בעת האחרונה תעשה ביחוד רושם מעציב בלב כל איש ישראל התחדשות 'עלי
46	בלי	בְּלִי	fossil	0		-	fossilized/lexicalized function word; suppress live proclitic segmentation	א. אני מאשר בזה את קבלת הרפורט שלך (בלי תאריך).
47	בעיקר	בְּעִקָּר	fossil	0	(unclear)	-	fossilized/lexicalized function word; suppress live proclitic segmentation	שהשירה את שערותיה, בעיקר כאילו לשם סולידריות עם המתקרבים לגיל מסויים,
48	בעצם	בְּעֶצֶם	fossil	0		-	fossilized/lexicalized function word; suppress live proclitic segmentation	וגם באותה ספירה אין רע ממש כי אם בצורה; אין דבר רע בעצם, והוא נעשה רק על ידי אפנים ותנאים 
49	כאשר	כַּאֲשֶׁר	fossil	0		-	fossilized/lexicalized function word; suppress live proclitic segmentation	אויר אפור, רך ונעים – כאשר אהבתי.
50	כדי	כְּדֵי	fossil	0		-	fossilized/lexicalized function word; suppress live proclitic segmentation	אין מורה ואין מחנך כייסורים גדולים, כצרות גדולות, ועלינו רק להיות תלמידים מקשיבים, לתת את 
51	כך	כָּךְ	fossil	0		-	fossilized/lexicalized function word; suppress live proclitic segmentation	"כך אמר לבבי, ואחר נאנח"…
52	ככה	כָּכָה	fossil	0		-	fossilized/lexicalized function word; suppress live proclitic segmentation	ככה דבר דר' ויצמן בששה ליולי העבר, לפני אספת צירי הועידה, מדברי
53	כמו	כְּמוֹ	fossil	0		-	fossilized/lexicalized function word; suppress live proclitic segmentation	כמו תאמרנה למסתכל בהן: "אל תעפיל עלות אלינו, כי לא תוכלה".
54	לכן	לָכֵן	fossil	0		-	fossilized/lexicalized function word; suppress live proclitic segmentation	לכן יזדרז האכר להעמיד אצל צמחי האפון קנים ארכים, והוא נאחז בהם, מטפס ועולה.
55	לאמור	לֵאמֹר	archaic	0	(unclear)	ל	archaic infinitive ל; sense must be infinitival, not dative	הן כל השתתפותנו בה היא רק בבחינת צאן לטבח, בשר לתותחים, וכל תוצאותיה בשבילנו – רק שכול, אל
56	לאמר	לֵאמֹר	archaic	0		ל	archaic infinitive ל; sense must be infinitival, not dative	גם לפני חמשים שנה, בימי מנוחה ושלוה, שעוררה עלילת דמשק רעש גדול כלכך בארצות המערב, עדיין י
57	לדעת	לָדַעַת	archaic	0		ל	infinitival ל; sense must be infinitival, not dative	דווקא שעה קשה זו, שאין לדעת כמה תימשך, ואם לא תהיה בעתיד עוד יותר קשה ­– דווקא שעה קשה זו 
58	לשבת	לָשֶׁבֶת	archaic	0		ל	infinitival ל; sense must be infinitival, not dative	אין לשבת בחיבוק ידיים; אין לתת לאוייב להתבצר בעמדותיו האנטי-ציוניות; אין לחכות להתקפותיו ה
59	לתת	לָתֵת	archaic	0		ל	infinitival ל; sense must be infinitival, not dative	אין לשבת בחיבוק ידיים; אין לתת לאוייב להתבצר בעמדותיו האנטי-ציוניות; אין לחכות להתקפותיו ה
89	שלך	שֶׁלְּךָ	other	1	ש	-	שלך is possessive של+suffix; ש is not standalone complementizer here	א. אני מאשר בזה את קבלת הרפורט שלך (בלי תאריך).
90	בין	בֵּין	other	0		-	whole preposition בין	בין כל הצרות שנתחדשו עלינו בעת האחרונה תעשה ביחוד רושם מעציב בלב כל איש ישראל התחדשות 'עלי
91	כאילו	כְּאִלּוּ	other	0	(unclear)	-	lexicalized כאילו; do not split כ	שהשירה את שערותיה, בעיקר כאילו לשם סולידריות עם המתקרבים לגיל מסויים,
92	כולה	כֻּלָּהּ	other	0	(unclear)	-	כול־ with pronominal suffix; כ is root/lexical, not proclitic	חג לפרט בקיבוץ, לחברה כולה, לילדיו, לחניכיו, לממשיכי דרכו בכל פינות הארץ – לתנועה כולה.
93	כולו	כֻּלּוֹ	other	0	(unclear)	-	כול־ with pronominal suffix; כ is root/lexical, not proclitic	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
94	כולם	כֻּלָּם	other	0	(unclear)	-	כול־ with pronominal suffix; כ is root/lexical, not proclitic	בני ביתי הלכו כולם ונשארתי יחידי בדירה רבת החדרים.
95	כולנו	כֻּלָּנוּ	other	0	(unclear)	-	כול־ with pronominal suffix; כ is root/lexical, not proclitic	כולנו ראינו בו את משאנפשנו: חיל
96	מגוהץ	מְגֹהָץ	other	0	(unclear)	-	מ is derivational/passive-participle morphology, not preposition מן	בימות החמה, מגוהץ.
97	מכופתר	מְכֻפְתָּר	other	0	(unclear)	-	מ is derivational/passive-participle morphology, not preposition מן	עינים מביעות טובלב סבאי, שפתים שהחיוך האופטימי שוכן עליהם, מכופתר גם
98	מסובלת	מְסֻבֶּלֶת	other	0	(unclear)	-	מ is derivational/passive-participle morphology, not preposition מן	בצלע הגן, תחת תפוחה מסובלת ענפים מעוקלים, נושאי עלים
