pair_id	candidate_a	candidate_b	preferred_candidate	critical_reason	reviewer_notes
PAIR-001	LB2B-002	LB2B-010	UNSCORED	UNSCORED	UNSCORED
PAIR-002	LB2B-019	LB2B-023	UNSCORED	UNSCORED	UNSCORED
PAIR-003	LB2B-013	LB2B-016	UNSCORED	UNSCORED	UNSCORED
PAIR-004	LB2B-022	LB2B-014	UNSCORED	UNSCORED	UNSCORED
PAIR-005	LB2B-012	LB2B-006	UNSCORED	UNSCORED	UNSCORED
PAIR-006	LB2B-005	LB2B-024	UNSCORED	UNSCORED	UNSCORED
PAIR-007	LB2B-017	LB2B-020	UNSCORED	UNSCORED	UNSCORED
PAIR-008	LB2B-018	LB2B-007	UNSCORED	UNSCORED	UNSCORED
PAIR-009	LB2B-004	LB2B-008	UNSCORED	UNSCORED	UNSCORED
PAIR-010	LB2B-003	LB2B-009	UNSCORED	UNSCORED	UNSCORED
PAIR-011	LB2B-001	LB2B-011	UNSCORED	UNSCORED	UNSCORED
PAIR-012	LB2B-026	LB2B-015	UNSCORED	UNSCORED	UNSCORED
PAIR-013	LB2B-021	LB2B-025	UNSCORED	UNSCORED	UNSCORED
