blind_id	adjudication_status	critical_error_decision	dimension_changes	adjudicator_notes
LB2B-001	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-002	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-003	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-004	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-005	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-006	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-007	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-008	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-009	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-010	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-011	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-012	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-013	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-014	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-015	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-016	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-017	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-018	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-019	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-020	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-021	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-022	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-023	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-024	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-025	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-026	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-027	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-028	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-029	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-030	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-031	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-032	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-033	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-034	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-035	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-036	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-037	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-038	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-039	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-040	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-041	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-042	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-043	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-044	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-045	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-046	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-047	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-048	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-049	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-050	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-051	PENDING_REVIEW	UNSCORED	UNSCORED	UNSCORED
LB2B-052	PENDING_REVIEW	UNSCORED	UNSCORED
