# LinguistPro · R1 gold worksheet (reader-morph resolver eval) — fill gold_pos + gold_lemma per row.
# verdict/note optional. ambig = both readings valid · skip = unjudgeable (OCR/garbage). See reader-morph-gold-LEGEND.md.
# Sampling is HOMOGRAPH-WEIGHTED (NOT corpus base-rate) → read results PER-STRATUM.
# nakdan_pos = Dicta SILVER reference only (NOT truth). offline_* = the resolver under test.
id	work	row_id	surface	niqqud	sentence	offline_pos	offline_lemma	offline_root	offline_meaning	offline_label	offline_alts	nakdan_pos	stratum	gold_pos	gold_lemma	verdict	note
56059::r2::הולך	56059	r2	הולך	הוֹלֵךְ	וּכְחֵיל מיוחד בְּתוֹךְ הַצָּבָא, הוֹלֵךְ וּמִתְאַרְגֵּן הַנַּחַ"ל, שֶׁמִּלְּבַד הַכְשָׁרָתוֹ לְכוֹנְנוּת קְרָבִית	verb	ללכת	הלך	идти	exact		verb	collision				
10::r3::ועד	10	r3	ועד	וְעַד	הָעֲלִילָה הַנִּתְעָבָהּ הַזֹּאת, בְּכָל יְשָׁנָה, הָיְתָה וְתִהְיֶה תָּמִיד בְּעֵינֵינוּ כַּחֲדָשָׁה, וּמִיְּמֵי הַבֵּינַיִם וְעַד עַתָּה תִּצְטַיֵּן בפעולתה הַחֲזָקָה עַל רוּחַ עַמֵּנוּ, לֹא רַק בִּמְקוֹם הַמַּעֲשֶׂה, כִּי אִם גַּם בַּאֲרָצוֹת רְחוֹקוֹת שֶׁהִגִּיעָה אֲלֵיהֶן הַשְּׁמוּעָה.	noun	עד	ועד	вечность	exact		preposition	tail				
10::r5::באמת	10	r5	באמת	בֶּאֱמֶת	בִּימֵי הַבֵּינַיִם, שֶׁהָיָה כְּלַל יִשְׂרָאֵל בְּמִקְרִים כָּאֵלֶּה רָגִיל לחשוב עַצְמוֹ כְּעוֹמֵד בַּמִּשְׁפָּט בְּיַחַד עִם אוֹתָם האומללים שֶׁעָלָה עֲלֵיהֶם הַגּוֹרָל לִהְיוֹת כִּפְרוֹתוֹ, – יֵשׁ מָקוֹם אָמְנָם לִרְאוֹת בָּזֶה רַק תּוֹצְאַת הַסַּכָּנָה הַגַּשְׁמִית הַגְּדוֹלָה לְהִכָּלֵל כולו, שֶׁהָיְתָה כְּרוּכָה אָז בֶּאֱמֶת בַּעֲקֵב כָּל עֲלִילָה כָּזוֹ.	noun	אמת	אמת	правда, истина	exact		adverb	tail				
10::r6::להפך	10	r6	להפך	לְהֶפֶךְ	גַּם לִפְנֵי חֲמִשִּׁים שָׁנָה, בִּימֵי מְנוּחָה וְשָׁלְוָה, שֶׁעוֹרְרָה עֲלִילַת דַּמֶּשֶׂק רַעַשׁ גָּדוֹל כְּלָכְךָ בְּאַרְצוֹת הַמַּעֲרָב, עדיין יֵשׁ מָקוֹם לֵאמֹר, כִּי הָיְתָה בָּזֶה, לְהֶפֶךְ, יַד הַקִּנְאָה הַגְּדוֹלָה לִכְבוֹדָם וּזְכוּיוֹתֵיהֶם שֶׁשָּׂרְרָה אָז בְּלִבּוֹת אַחֵינוּ הַמַּעֲרָבִיִּים, אֲשֶׁר זֶה מְעַט יָצְאוּ מֵעַבְדוּת לְחֵרוּת.	noun	הפך	הפך	противоположность, противоположное	exact		adverb	tail				
10::r7::הרבה	10	r7	הרבה	הַרְבֵּה	אַךְ בְּיָמֵינוּ אֵלֶּה הֲרֵי מִצַּד אֶחָד אֵין הַסַּכָּנָה הַגַּשְׁמִית גְּדוֹלָה עוֹד הַרְבֵּה, בְּיִחוּד לִקְהִלּוֹת רְחוֹקוֹת, וּמִצַּד אַחֵר כְּבָר הורגלנו לשמוע חֶרְפָּתֵנוּ בקור רוּחַ וְקִנְאַת כְּבוֹדֵנוּ לֹא תֹּאכְלֶנּוּ עוֹד, וְאִם בְּכָל זֹאת גַּם עַתָּה עוֹדֶנּוּ מִתְעוֹרְרִים וּמִתְנוֹדְדִים בְּחָזְקָה לְשֶׁמַע 'עֲלִילָתְדָם', וְרֶגֶשׁ הַכְּלָל יִתְפָּרֵץ הַחוּצָה מִכָּל עִבְרִים לְהַ	verb	להרבות	רבה	увеличивать, умножать; делать что-либо часто	exact		adverb	tail				
10::r7::בחזקה	10	r7	בחזקה	בְּחָזְקָה	אַךְ בְּיָמֵינוּ אֵלֶּה הֲרֵי מִצַּד אֶחָד אֵין הַסַּכָּנָה הַגַּשְׁמִית גְּדוֹלָה עוֹד הַרְבֵּה, בְּיִחוּד לִקְהִלּוֹת רְחוֹקוֹת, וּמִצַּד אַחֵר כְּבָר הורגלנו לשמוע חֶרְפָּתֵנוּ בקור רוּחַ וְקִנְאַת כְּבוֹדֵנוּ לֹא תֹּאכְלֶנּוּ עוֹד, וְאִם בְּכָל זֹאת גַּם עַתָּה עוֹדֶנּוּ מִתְעוֹרְרִים וּמִתְנוֹדְדִים בְּחָזְקָה לְשֶׁמַע 'עֲלִילָתְדָם', וְרֶגֶשׁ הַכְּלָל יִתְפָּרֵץ הַחוּצָה מִכָּל עִבְרִים לְהַ	verb	לחזוק	חזק	быть сильным; крепнуть, усиливаться (архаич.)	exact		noun	tail				
10::r7::מעליו	10	r7	מעליו	מֵעָלָיו	אַךְ בְּיָמֵינוּ אֵלֶּה הֲרֵי מִצַּד אֶחָד אֵין הַסַּכָּנָה הַגַּשְׁמִית גְּדוֹלָה עוֹד הַרְבֵּה, בְּיִחוּד לִקְהִלּוֹת רְחוֹקוֹת, וּמִצַּד אַחֵר כְּבָר הורגלנו לשמוע חֶרְפָּתֵנוּ בקור רוּחַ וְקִנְאַת כְּבוֹדֵנוּ לֹא תֹּאכְלֶנּוּ עוֹד, וְאִם בְּכָל זֹאת גַּם עַתָּה עוֹדֶנּוּ מִתְעוֹרְרִים וּמִתְנוֹדְדִים בְּחָזְקָה לְשֶׁמַע 'עֲלִילָתְדָם', וְרֶגֶשׁ הַכְּלָל יִתְפָּרֵץ הַחוּצָה מִכָּל עִבְרִים לְהַ	noun	מעל	עלה	над, поверх, сверху	exact		preposition	tail				
10::r7::המניעים	10	r7	המניעים	הַמְּנִיעִים	אַךְ בְּיָמֵינוּ אֵלֶּה הֲרֵי מִצַּד אֶחָד אֵין הַסַּכָּנָה הַגַּשְׁמִית גְּדוֹלָה עוֹד הַרְבֵּה, בְּיִחוּד לִקְהִלּוֹת רְחוֹקוֹת, וּמִצַּד אַחֵר כְּבָר הורגלנו לשמוע חֶרְפָּתֵנוּ בקור רוּחַ וְקִנְאַת כְּבוֹדֵנוּ לֹא תֹּאכְלֶנּוּ עוֹד, וְאִם בְּכָל זֹאת גַּם עַתָּה עוֹדֶנּוּ מִתְעוֹרְרִים וּמִתְנוֹדְדִים בְּחָזְקָה לְשֶׁמַע 'עֲלִילָתְדָם', וְרֶגֶשׁ הַכְּלָל יִתְפָּרֵץ הַחוּצָה מִכָּל עִבְרִים לְהַ	verb	להניע	נוע	двигать; приводить в движение	exact		noun	tail				
10::r7::המת	10	r7	המת	הַמֵּת	אַךְ בְּיָמֵינוּ אֵלֶּה הֲרֵי מִצַּד אֶחָד אֵין הַסַּכָּנָה הַגַּשְׁמִית גְּדוֹלָה עוֹד הַרְבֵּה, בְּיִחוּד לִקְהִלּוֹת רְחוֹקוֹת, וּמִצַּד אַחֵר כְּבָר הורגלנו לשמוע חֶרְפָּתֵנוּ בקור רוּחַ וְקִנְאַת כְּבוֹדֵנוּ לֹא תֹּאכְלֶנּוּ עוֹד, וְאִם בְּכָל זֹאת גַּם עַתָּה עוֹדֶנּוּ מִתְעוֹרְרִים וּמִתְנוֹדְדִים בְּחָזְקָה לְשֶׁמַע 'עֲלִילָתְדָם', וְרֶגֶשׁ הַכְּלָל יִתְפָּרֵץ הַחוּצָה מִכָּל עִבְרִים לְהַ	verb	למות	מות	умереть	exact		noun	tail				
1663::r0::הורה	1663	r0	הורה	הוֹרָה	הוֹרָה שֶׁל בַּת גּוֹלָה	verb	להורות	ירה	обучать, указывать, давать распоряжения	exact		noun	tail				
